Item,Date,Ada,Adams,Bannock,Bear Lake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,Nez Perce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,Twin Falls,Valley,Washington,year
Climate,1/1/1987,-2.617596653,-2.773213196,-2.392034712,-0.568310777,-1.440064095,-2.41368081,-3.174222014,-3.116161601,-1.283950337,-2.194941407,-1.265157197,-2.689783549,-3.336773799,-2.63485949,-2.212185049,-2.359217627,-1.688135627,-1.073385914,-2.762369705,-3.074257047,-1.211903614,-2.400580584,-3.190655524,-2.985986262,-1.574751076,-1.659753312,-2.907565749,-1.611275983,-1.514051522,-2.047858803,-1.458690094,-3.296126191,-2.014099596,-3.021569862,-1.366442066,-2.53335449,-2.707995407,-3.187879796,-2.475290926,-0.401216809,-2.251026957,-2.609613526,-2.578347169,-3.353358679,1987
Climate,2/1/1987,-2.934144634,-3.284436637,-2.915293945,-2.389463207,-1.942578922,-2.869136421,-3.509461526,-3.716168084,-1.709699044,-2.776832611,-1.699481391,-2.996432572,-3.879445029,-2.872135012,-2.82127411,-2.509734331,-1.947215558,-1.649204309,-3.117604581,-3.618318652,-2.789983419,-2.895983622,-3.691061282,-3.288493979,-2.026417638,-1.963693091,-3.043387817,-2.202078235,-2.061715618,-2.333219788,-1.971102575,-3.520204408,-2.631416152,-3.19843376,-1.87219712,-2.877580094,-2.725381543,-3.556479482,-2.771338185,-1.295002994,-2.892156072,-2.691334679,-2.94969692,-3.77985774,1987
Climate,3/1/1987,-2.933668111,-3.054102343,-3.2274753,-2.720335563,-1.735315755,-3.143748874,-3.410432332,-3.529559359,-0.175873529,-3.04208994,0.908552551,-2.99908715,-3.768265924,-2.845570291,-3.153373238,-2.570650367,-2.203640442,-1.512110706,-3.114558876,-3.625307477,-3.162329583,-3.044383239,-3.282238057,-3.312532167,-1.914260136,-2.507248079,-2.97595795,-1.640928187,-2.047182535,-2.52043483,-2.073406599,-3.366899993,-2.990682875,-3.17416764,-1.947154602,-3.101532171,-2.633919807,-3.2541733,-2.910671887,-0.92689987,-3.018609116,-2.714681985,-2.617279135,-3.317757107,1987
Climate,4/1/1987,-4.251165627,-3.877279654,-4.723197905,-4.044448898,-2.104211265,-4.712405187,-4.386098529,-4.436498783,-1.043610336,-4.285386204,-0.770593581,-4.270260621,-4.677311748,-4.07703475,-4.292714917,-3.811639046,-3.612614925,-2.177244143,-4.219622808,-4.743093482,-4.644329862,-4.173924041,-4.416888374,-4.58326092,-2.891290059,-4.308701465,-4.297014643,-1.979897228,-2.484918696,-3.871136121,-2.613088068,-4.440567304,-4.357523922,-4.395417836,-2.620513982,-4.505290772,-3.61424184,-4.505195156,-4.324830158,-1.593808556,-3.968852902,-3.94206826,-3.679343354,-4.137394866,1987
Climate,5/1/1987,-3.956687733,-3.883935606,-3.871885415,-3.295665114,-2.104255965,-3.639393794,-3.46874664,-4.467252961,-1.385207161,-3.409221613,-1.210472445,-2.957530251,-4.439787049,-3.382077533,-3.564867309,-2.5288588,-2.849482409,-2.29916461,-3.553924467,-4.654235058,-3.455155897,-3.447303368,-4.49350698,-3.731028414,-3.18526361,-3.043267171,-3.188221976,-2.119725838,-2.413408284,-3.274684502,-2.621921373,-3.172145617,-3.815167854,-3.018100435,-2.807223223,-3.133428471,-2.78108716,-3.938341012,-3.182204484,-1.673611698,-2.946798155,-2.997389268,-3.572200822,-4.088805416,1987
Climate,6/1/1987,-3.937589479,-3.838789676,-4.071513176,-3.651375357,-2.306565115,-3.717962802,-3.420365676,-4.593314913,-1.925806678,-3.519015319,-1.872752489,-2.92322857,-4.412970801,-3.302246928,-3.821140732,-2.797803897,-3.047986378,-2.409978763,-3.518794053,-4.69294641,-3.748424904,-3.638947789,-4.39010937,-3.754418647,-3.288876662,-3.0895601,-3.312761077,-2.509621303,-2.461212869,-3.409148292,-2.553983028,-3.164727084,-3.960775343,-3.078366404,-2.889595068,-3.415464631,-2.919811857,-3.694952476,-3.358381599,-1.90350404,-3.012146082,-3.234016835,-3.600527705,-3.830073121,1987
Climate,7/1/1987,-3.323594781,-3.424873333,-2.62345092,-2.457200368,-1.747823577,-2.111074608,-2.154249035,-4.097690595,-1.655226962,-2.132785041,-1.620203553,-0.620401891,-3.409307293,-2.784368937,-2.484207333,-1.593512388,0.183729214,-1.633161305,-1.773493307,-3.890966568,-2.533218605,-2.291164505,-3.807847412,-2.877250035,-2.421544566,-0.687715633,-2.521738919,-2.091921526,-1.71326411,-0.62305331,-1.794819017,-2.209238862,-2.479045804,-2.005083785,-1.708464775,-2.117073472,-2.24634527,-3.097228052,-1.947103614,-1.419898966,-1.914111729,-2.388537631,-3.08794494,-3.167632949,1987
Climate,8/1/1987,-3.413678806,-3.522105576,-2.40556798,-1.855955627,-1.798730975,-2.271463598,-2.434659206,-4.127443656,-1.606604455,-2.217387165,-1.62536165,-1.06338705,-3.540113725,-2.884359747,-2.202099671,-1.892256079,0.11263808,-1.60359441,-1.885946855,-3.980440257,-1.994088426,-2.156045268,-3.806777161,-3.091072514,-2.461648272,-1.038600546,-2.728164796,-1.987345911,-1.837848929,-0.45497065,-1.942570105,-2.468990901,-2.644058054,-2.302043996,-1.984410801,-1.851300482,-2.599093963,-3.117893811,-2.067542638,-1.428068359,-2.075220249,-2.739893424,-3.149882486,-3.224244882,1987
Climate,9/1/1987,-3.888005094,-4.066252623,-3.070556323,-2.592645657,-2.626874498,-3.009823305,-3.061842273,-4.572900105,-2.31611666,-3.036711003,-2.385354952,-1.981242594,-4.008740882,-3.440500704,-2.95512114,-2.593733887,-1.208534623,-2.541397725,-2.728309459,-4.349663634,-2.663163722,-2.945220168,-4.234113816,-3.536077537,-3.362113067,-1.988293363,-3.239557637,-2.701272405,-2.665197573,-1.665115436,-2.812291537,-2.972200954,-3.436090883,-2.893808748,-2.885458828,-2.523218929,-3.123301187,-3.568858507,-2.75991183,-2.347266997,-2.924554586,-3.289302943,-3.800437396,-3.679921001,1987
Climate,10/1/1987,-4.387894756,-4.847417919,-3.251318301,-2.628792634,-3.49239115,-3.429121628,-3.528230428,-5.153217358,-3.203958105,-3.600143428,-3.319145505,-2.698372864,-4.429146493,-4.051251976,-3.221432282,-2.780844609,-2.664867439,-3.553948211,-3.538837969,-4.766710042,-2.699287593,-3.753030415,-4.843019685,-3.960533801,-4.327971644,-2.88433921,-3.666325056,-3.539537029,-3.542622483,-3.077301229,-3.769011749,-3.377877832,-4.09465195,-3.225401758,-3.789537767,-2.588966747,-3.581894752,-4.193711666,-2.990317175,-3.373367327,-3.700099088,-3.673819222,-4.639802271,-4.383968239,1987
