Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms number,24142,1293,257,655,446,205,1466,221,73,516,905,297,224,117,2009,428,873,103,216,261,341,641,546,539,729,774,823,909,611,644,365,191,338,510,858,405,363,573,572,350,46,268,1576,113,492,1987
Land in farms acres,13931875,247084,207722,358189,269211,115100,1406990,246774,66811,136833,505173,79281,161431,174842,327869,587374,653525,362514,134891,137022,401677,242091,383875,222950,239328,802746,331757,205315,170739,352777,201199,222624,145251,239530,207965,473987,309354,716637,135359,436494,5148,148908,552538,81819,523171,1987
Average size of farm acres ,577,191,808,547,604,561,960,1117,915,265,558,267,721,1494,163,1372,749,3520,624,525,1178,378,703,414,328,1037,403,226,279,548,551,1166,430,470,242,1170,852,1251,237,1247,112,556,351,724,1063,1987
Value of land and buildings: Average per farm dollars ,336615,207271,272117,214539,192688,434805,505903,552814,347795,276686,338993,293003,323054,445669,230927,446445,465049,1514476,217060,311458,453349,193819,351234,186751,270800,361987,287139,246455,314110,444348,317340,700958,241763,418922,266561,612040,299083,515370,221684,708869,113913,442082,285466,327920,364521,1987
Value of land and buildings: Average per acre dollars ,572,975,369,353,325,710,502,467,380,1223,719,948,436,303,1438,334,632,430,364,551,372,518,547,479,846,368,670,1016,911,731,570,535,578,848,1141,493,312,393,933,601,1018,736,814,532,300,1987
Estimated market value of all machinery and equipment : Average per farm dollars,55327,30571,24165,33611,41017,49458,76584,51799,20760,24591,64791,44609,67966,72606,48063,70165,90408,95835,26848,40514,55368,43381,80177,28822,58798,40325,50040,55740,36317,68302,30712,84842,48958,85193,70678,68220,58875,56149,40493,137287,17523,81115,54826,23252,48573,1987
Farms by size: 1 to 9 acres ,3021,294,31,112,43,7,199,21,5,26,159,16,18,5,357,25,112,3,4,30,54,93,48,65,68,54,91,145,69,39,47,7,32,76,126,52,23,59,65,37,7,8,236,9,44,1987
Farms by size:10 to 49 acres ,5268,532,63,183,65,48,374,32,12,121,193,76,35,17,644,39,110,5,28,40,67,108,81,184,201,89,193,201,177,96,67,10,24,90,168,54,32,84,218,40,17,32,295,19,104,1987
Farms by size:50 to 179 acres ,5685,272,47,115,95,57,317,52,16,190,194,111,35,9,535,50,175,8,70,44,52,164,118,156,229,149,237,252,192,135,62,19,81,109,216,51,48,160,184,38,11,60,437,33,100,1987
Farms by size:180 to 499 acres ,4716,122,38,107,112,32,252,38,21,125,159,50,53,14,339,100,171,14,57,75,64,144,130,70,147,157,151,208,84,140,82,26,123,105,252,62,81,124,60,52,10,72,393,19,81,1987
